id,ts_iso8601,source_file,gap_prev_global_sec,gap_prev_within_file_sec,session_id_within_file,session_key,gap_prev_within_session_sec,session_start_ts_iso8601,session_end_ts_iso8601,session_row_count,session_duration_sec,session_median_gap_sec,session_p90_gap_sec,cadence_family,ruuvi,aplicom,companyid,address,rssi,advdata,lat,lon,geom,temperature,accx,accy,accz,battvoltage,txpower,movcounter,measseqnum,calibrated_accx,calibrated_accy,calibrated_accz
18620844,2025-11-10T04:06:48.731000+0200,flic_button_data_export_20251110.csv,2.259,2.259,2,flic_button_data_export_20251110.csv::2,2.259,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-66,,60.3807,23.103155,0101000020E61000003C6BB75D681A374029CB10C7BA304E40,,,,,,,,,,,
18620845,2025-11-10T04:06:50.262000+0200,flic_button_data_export_20251110.csv,1.531,1.531,2,flic_button_data_export_20251110.csv::2,1.531,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-65,,60.380519,23.103338,0101000020E61000001E6FF25B741A3740D940BAD8B4304E40,,,,,,,,,,,
18620846,2025-11-10T04:06:51.792000+0200,flic_button_data_export_20251110.csv,1.53,1.53,2,flic_button_data_export_20251110.csv::2,1.53,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-64,,60.380336,23.103522,0101000020E6100000A16AF46A801A3740E8BE9CD9AE304E40,,,,,,,,,,,
18620847,2025-11-10T04:06:53.315000+0200,flic_button_data_export_20251110.csv,1.523,1.523,2,flic_button_data_export_20251110.csv::2,1.523,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-66,,60.380153,23.103706,0101000020E61000002366F6798C1A3740F73C7FDAA8304E40,,,,,,,,,,,
18620848,2025-11-10T04:06:54.849000+0200,flic_button_data_export_20251110.csv,1.534,1.534,2,flic_button_data_export_20251110.csv::2,1.534,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-65,,60.379969,23.103882,0101000020E6100000A0A4C002981A3740363FFED2A2304E40,,,,,,,,,,,
18620849,2025-11-10T04:06:56.913000+0200,flic_button_data_export_20251110.csv,2.064,2.064,2,flic_button_data_export_20251110.csv::2,2.064,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-54,,60.37967,23.104176,0101000020E610000031074147AB1A3740DBA2CC0699304E40,,,,,,,,,,,
18620850,2025-11-10T04:06:58.436000+0200,flic_button_data_export_20251110.csv,1.523,1.523,2,flic_button_data_export_20251110.csv::2,1.523,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-58,,60.37955,23.104292,0101000020E6100000043C69E1B21A374031992A1895304E40,,,,,,,,,,,
18620851,2025-11-10T04:06:59.974000+0200,flic_button_data_export_20251110.csv,1.538,1.538,2,flic_button_data_export_20251110.csv::2,1.538,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-70,,60.379312,23.104521,0101000020E6100000C6BE64E3C11A37407C7DAD4B8D304E40,,,,,,,,,,,
18620852,2025-11-10T04:07:01.500000+0200,flic_button_data_export_20251110.csv,1.526,1.526,2,flic_button_data_export_20251110.csv::2,1.526,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-62,,60.379137,23.104697,0101000020E610000044FD2E6CCD1A37400EDAAB8F87304E40,,,,,,,,,,,
18620853,2025-11-10T04:07:04.729000+0200,flic_button_data_export_20251110.csv,3.229,3.229,2,flic_button_data_export_20251110.csv::2,3.229,2025-11-10T04:06:25.747000+0200,2025-11-10T04:07:33.798000+0200,39,68.051,1.5350000000000001,2.343500000000001,fast ~1.53s,,Aplicom A11 001,,80E4DA7EC61B,-52,,60.378961,23.104875,0101000020E6100000022B8716D91A3740CFBA46CB81304E40,,,,,,,,,,,
